repo_name,primary_domain,navigation_domains,Helps You Decide,Primary Capability,repository_url
rolling-cashflow-forecast,profitability,profitability,Why is cash always tight?,Forecast future liquidity under changing operational and financial assumptions.,https://github.com/HyVoid/rolling-cashflow-forecast
Multi-Currency-Trade-Financial-Analyzer,profitability,profitability,Which trade flows are actually profitable after currency effects?,Measure multi-currency trade profitability across cross-border operations.,https://github.com/HyVoid/Multi-Currency-Trade-Financial-Analyzer
RTL_Loan_Sizer_Pricer,profitability,profitability,What financing structure is supportable under different borrower and collateral scenarios?,Compare lending scenarios using risk-adjusted financing assumptions.,https://github.com/HyVoid/RTL_Loan_Sizer_Pricer
Personal-Business-Dual-Track-Budget-Manager,profitability,profitability,Where is personal and business cash being mixed or misallocated?,Separate personal and business cash flows into independently tracked budget tracks.,https://github.com/HyVoid/Personal-Business-Dual-Track-Budget-Manager
Multifamily-Value-Add-Acquisition-Model,profitability,profitability,Does this real estate acquisition still create equity value after renovation and operating assumptions?,Evaluate multifamily acquisition returns under renovation financing and operating scenarios.,https://github.com/HyVoid/Multifamily-Value-Add-Acquisition-Model
Real-Estate-Valuation-all-in-one-calculator,profitability,profitability,What is a property worth under different valuation methods?,Calculate property value across multiple valuation methods with tax and capital expenditure modeling.,https://github.com/HyVoid/Real-Estate-Valuation-all-in-one-calculator
MULTI-NODE-INVENTORY-RECONCILIATION,inventory,inventory,Why do locations disagree on inventory positions?,Reconcile inventory records across multiple operating nodes to identify discrepancies.,https://github.com/HyVoid/MULTI-NODE-INVENTORY-RECONCILIATION
Demand-Adaptive-Inventory-Planning-Purchasing-Decision-Excel-Toolkit,inventory,inventory,What purchasing decision should be made today given demand trends lead times and cash constraints?,Forecast inventory requirements by combining demand signals lead-time risk purchasing recommendations and working capital exposure.,https://github.com/HyVoid/Demand-Adaptive-Inventory-Planning-Purchasing-Decision-Excel-Toolkit
Retail-SKU-Concentration-Assortment-Diagnostic-Console,inventory,inventory,Which products dominate inventory risk or dilute assortment quality?,Identify SKU concentration risk and assortment efficiency across retail product catalogs.,https://github.com/HyVoid/Retail-SKU-Concentration-Assortment-Diagnostic-Console
Retail-and-Maquila-Inventory-Ledger,inventory,inventory,Where is inventory moving across retail and maquila operations?,Track inventory movement processing loss and stock exposure across factories warehouses and stores.,https://github.com/HyVoid/Retail-and-Maquila-Inventory-Ledger
Universal-3D-Cargo-Loading-Optimization-Simulator,inventory,"inventory;engineering",How should cargo be loaded to reduce wasted space and operational friction?,Simulate 3D cargo loading configurations to maximize container capacity and shipping efficiency.,https://github.com/HyVoid/Universal-3D-Cargo-Loading-Optimization-Simulator
Marketing-Audit-Decision-Console,marketing,marketing,What should we fix first in marketing performance?,Audit marketing channel performance by reconciling ad spend data with actual revenue attribution.,https://github.com/HyVoid/Marketing-Audit-Decision-Console
Marketing-Budget-Allocation-Simulator,marketing,marketing,Where should the next dollar of marketing spend go?,Allocate marketing budget across channels using portfolio theory and return simulation.,https://github.com/HyVoid/Marketing-Budget-Allocation-Simulator
Paid-Media-Data-Hub,marketing,"marketing;data-architecture",How do we turn paid media exports into usable performance data?,Transform paid media data exports into standardized decision-ready performance reports.,https://github.com/HyVoid/Paid-Media-Data-Hub
TikTok-Agency-Monthly-Performance-Intelligence-Engine,marketing,marketing,Which monthly agency actions are justified by performance evidence?,Standardize agency performance reporting and benchmark TikTok campaign results against strategic objectives.,https://github.com/HyVoid/TikTok-Agency-Monthly-Performance-Intelligence-Engine
Membership-Engagement-Analytics-Workspace,marketing,"marketing;data-architecture",Which members are engaged slipping or ready for intervention?,Identify member churn risk and engagement trends across lifetime participation history.,https://github.com/HyVoid/Membership-Engagement-Analytics-Workspace
Lightweight-CRM-Shopify-Marketing-Attribution-Excel-Template,marketing,"marketing;data-architecture",Which marketing spend actually produced profitable revenue?,Connect marketing acquisition channels to CRM sales progression and Shopify revenue through unified customer identity attribution.,https://github.com/HyVoid/Lightweight-CRM-Shopify-Marketing-Attribution-Excel-Template
Excel-Operations-Control-Dashboard,operations,"operations;data-architecture",Which operational metrics require management attention?,Monitor operational KPIs from a single source of truth without manual report consolidation.,https://github.com/HyVoid/Excel-Operations-Control-Dashboard
Project-Time-Cost-Analysis-Console,operations,operations,Which projects are drifting on time cost or margin?,Analyze project labor cost allocation and profitability across active project portfolios.,https://github.com/HyVoid/Project-Time-Cost-Analysis-Console
restaurant-operation-audit,operations,operations,Which restaurant operating issues should be fixed first?,Evaluate restaurant operational performance and prioritize corrective actions.,https://github.com/HyVoid/restaurant-operation-audit
wedding-planner,operations,operations,Which wedding planning tasks costs and timelines need coordination?,Coordinate vendor management task tracking and budget control across wedding planning workflows.,https://github.com/HyVoid/wedding-planner
Manufacturing-Labor-Cost-Capacity-Planning-Toolkit,operations,operations,Is labor capacity being utilized efficiently or does the operation need different staffing or scheduling?,Transform production plans and labor data into capacity utilization labor cost allocation and staffing decisions.,https://github.com/HyVoid/Manufacturing-Labor-Cost-Capacity-Planning-Toolkit
Cin7-Business-Performance-Analyzer,operations,"operations;data-architecture",What does Cin7 operating data say about business performance?,Translate Cin7 inventory and operations data into actionable business performance insights.,https://github.com/HyVoid/Cin7-Business-Performance-Analyzer
Aviation-Compliance-Research-Repository,compliance,compliance,Which aviation compliance rule or operating constraint applies?,Interpret aviation compliance requirements into operational flight duty constraints.,https://github.com/HyVoid/Aviation-Compliance-Research-Repository
Reckon-IIF-Converter,compliance,compliance,How do we reduce accounting import and migration risk?,Convert CRM invoice exports into validated import-ready accounting file formats.,https://github.com/HyVoid/Reckon-IIF-Converter
Shopify-Etsy-Monthly-VAT-Compliance-Dashboard-Excel-,compliance,compliance,Can this month's multi-country VAT filing be submitted with confidence?,Calculate and validate monthly multi-country VAT liabilities across Shopify and Etsy transaction data.,https://github.com/HyVoid/Shopify-Etsy-Monthly-VAT-Compliance-Dashboard-Excel-
DIN-743-Shaft-Calculations,engineering,engineering,Does the shaft design satisfy the relevant calculation logic?,Apply DIN 743 shaft calculation standards to engineering design decisions.,https://github.com/HyVoid/DIN-743-Shaft-Calculations
Construction-Estimating-System,engineering,engineering,What will this construction scope cost under current assumptions?,Standardize construction tender estimating and transform completed estimates into reusable cost libraries.,https://github.com/HyVoid/Construction-Estimating-System
AIA-Construction-Estimating-Cost-Tracking-Workbook,engineering,engineering,How do estimates and tracked costs compare through delivery?,Compare construction estimates against actual costs throughout project delivery using AIA-standard formats.,https://github.com/HyVoid/AIA-Construction-Estimating-Cost-Tracking-Workbook
Cross-Border-DTC-Inventory-Governance-Console,inventory,inventory,What is the real purchasing demand after removing pre-order liabilities and expected returns?,Reconstruct true demand signals by isolating pre-order obligations and return behavior from raw sales data.,https://github.com/HyVoid/Cross-Border-DTC-Inventory-Governance-Console
Fund-Unitization-NAV-Excel-tool-for-cashflow-management,profitability,profitability,What is each participant actually owed based on their entry timing and current pool value?,Track investment pool ownership continuously using NAV-based unit accounting.,https://github.com/HyVoid/Fund-Unitization-NAV-Excel-tool-for-cashflow-management
DTC-Financial-Decision-Support-System,profitability,"profitability;data-architecture",Which operational commitments will create a cash problem in the next twelve weeks?,Connect Shopify sales bank transactions advertising spend and inventory purchasing into a unified cash flow decision framework.,https://github.com/HyVoid/DTC-Financial-Decision-Support-System
Construction-Management-Project-Control-Workbook,engineering,"engineering;profitability",Is the project financial position accurate after incorporating approved changes actual costs and billing progress?,Integrate budgets change orders progress billing and cash flow into a single construction project control framework.,https://github.com/HyVoid/Construction-Management-Project-Control-Workbook
Revenue-Management-Decision-Engine,profitability,"profitability;operations",Has enough meaningful information changed to justify a pricing adjustment?,Govern pricing recommendations through configurable guard rails that prevent unnecessary revenue volatility.,https://github.com/HyVoid/Revenue-Management-Decision-Engine
Amazon-Business-Review-Engine,profitability,"profitability;marketing;data-architecture",What actually changed in the business this period and which products or keywords drove the change?,Transform Amazon Seller Central SQP and Sellerboard exports into standardized executive business reviews.,https://github.com/HyVoid/Amazon-Business-Review-Engine
